ID	TITLE	DESCIRIPTION
Main_4_ScarletMansion_019-Mission	向咲夜报告吧！	咲夜小姐还在等着呢，赶紧把罐子交给咲夜小姐吧！只差最后一步了！
Main_4_ScarletMansion_021-Mission	去取回酿造的酒吧！	对了！咲夜小姐说过，她今天会在酒窖，我可以去取回之前酿的酒了！
Main_4_ScarletMansion_022-Mission	还款 ~ 雾之湖篇	听说你们又需要我们家的服务了？来，我已经把欠款协议带来了，照旧盖个手印就行了！接下来新店建设等事宜就交给我们吧。
Main_4_ScarletMansion_Loop-Mission_A	女仆长的采购委托	最近馆里的水产消耗得很快，能麻烦您帮我采购一些回来吗？如果您能完成委托的话，我可以给您一些名贵的酒哦。
Main_4_ScarletMansion_Loop-Mission_B	女仆长的采购委托	最近馆里的蔬菜消耗得很快，能麻烦您帮我采购一些回来吗？如果您能完成委托的话，我可以给您一些名贵的酒哦。
Main_4_ScarletMansion_Loop-Mission_C	女仆长的采购委托	最近馆里的肉类消耗得很快，能麻烦您帮我采购一些回来吗？如果您能完成委托的话，我可以给您一些名贵的酒哦。
Main_5_BambooForest_023_Mission	最后的任务	如果你改变心意，就来神社找我吧。我会想办法把幽幽子大人带到那个幻境去……
Main_5_BambooForest_026-Mission	最初的梦想 ~ 其之一	这次你们确实做得不错，也应该奖励一下你们。庆功宴结束后就去找橙吧。她知道该怎么做。
Main_5_BambooForest_027-Mission	最初的梦想 ~ 其之二	难得有机会，如果还有什么想要邀请的人就尽快去邀请吧。等你准备好了再来告诉我。
Main_5_BambooForest_Concert_Mission	最初的梦想 ~ 其之三	我已经随时可以上台了！你如果准备好，就来告诉我吧。
Main_5_BambooForest_016_Mission	不死人的对决	我们各自创作一个食谱寄售在雀食堂，为期三天，以销量来一决胜负。意外获得两个新食谱，对老板娘来说也无甚损失吧？
Main_5_BambooForest_020-Mission	还款 ~ 竹林篇	听说你们要在竹林开店？那必须有我出场啊。只要像之前一样在上面盖上手印，接下来新店建设等事宜就交给我们吧。
LevelUp_6_Mission	人间之里·店铺扩张	小小的但是充满能量的料理，不是很像你的小摊吗？如果可以帮我做几份这样的料理的话，我可以帮你扩张人间之里的店铺哦！
LevelUp_7_Mission	兽道·店铺扩张·改	最近猫咪们挺想吃的鱼烧烤来着，如果可以帮我做几份这样的料理的话，我可以帮你再扩张妖怪兽道的店铺哦！
LevelUp_8_Mission	人间之里·店铺扩张·改	我的流浪猫一直很想吃到最近人间之里很流行的“文化底蕴”的料理呢，如果可以帮我做几份这样的料理的话，我可以帮你再扩张人间之里的店铺哦！
LevelUp_10_Mission	博丽神社·店铺扩张	猫果然还是吃不了热的东西，凉爽的东西在这个天气吃最棒了！如果可以帮我做几份这样的料理的话，我可以帮你再扩张博丽神社的店铺哦！
LevelUp_12_Mission	博丽神社·店铺扩张·改	单纯的甜味猫咪们已经吃腻啦~水果的味道清清爽爽的，正好呢！如果可以帮我做几份这样的料理的话，我可以帮你扩张博丽神社的店铺哦！
LevelUp_14_Mission	红魔馆·店铺扩张	最近怎么到处都在谈论西式料理啊？这种外来的饮食有什么好的……不过，别人有的我家猫咪也得有！如果你能帮我做几份这样的料理的话，我可以帮你扩张红魔馆的店铺哦！
LevelUp_16_Mission	红魔馆·店铺扩张·改	讨厌的人类居然随便就来投喂我的猫咪，那明明是我的工作！我要用“梦幻”般的料理将猫咪们的心夺回来！如果你能帮我做几份这样的料理的话，我可以帮你再扩张红魔馆的店铺哦！
LevelUp_18_Mission	迷途竹林·店铺扩张	我们家的猫咪吃什么东西都没有精神…有没有什么能让它们感觉到刺激又带劲的料理呢？如果是你的话，能否做出来给我试试？
LevelUp_19_Mission	迷途竹林·店铺扩张·改	即使是还没有成妖的猫咪，也有尝一次传说中的和风料理的梦想呢。作为领袖我想帮它们争取一下…！如果你能帮我的话，我…店铺的扩张什么的不在话下啦！
Side_BeastForest_001_Mission	想要和人类村民进行交易……	年幼的妖兽似乎有什么苦恼，如果愿意帮助他的话，请到人类村子的入口找他吧！
Side_BeastForest_002_Mission	年纪大了，眼睛不好使啦……	年老的妖兽在寻找能够帮他在兽道悬挂灯笼的对象，有意协助者可以到兽道去找他。
Side_BeastForest_003_Mission	发生在兽道里的谜之集会！	有妖兽声称兽道内有可疑的集会，并且寻找协助者调查，有意者可以到兽道去找他。
Side_BeastForest_004_Mission	为了人里和兽道的和平！	兽道似乎有妖兽正在为了不得了的事情烦恼着，有意协助者可以到兽道了解一下。
Side_BeastForest_005_Mission	人类真是蠢不可耐！	“昆虫的通知”服务团队正在寻找能够协助团队完成委派任务的厨师！有意者请前往洽谈！
Side_BeastForest_006_Mission	募集擅长给猫猫做料理的厨师！	橙正在寻找能够提供野餐料理的厨师！有意者请前往洽谈！
Side_HumanVillage_001_Mission	人类的宴客之道	村子里有位夫人正在为招待客人的事情发愁，有意协助者请前往洽谈！
Side_HumanVillage_002_Mission	天下果然没有免费的午餐	要想免费获得果蔬采摘的机会，得先帮人类对付兽道的野猪……去问问慧音老师该怎么办吧！
Side_HumanVillage_003_Mission	外界的游戏知识？	香霖堂的老板最近在研习外界的游戏相关知识，需要擅长料理的人助他一臂之力！
Side_HumanVillage_004_Mission	悬赏：稻荷神的贡品	村民正在寻找能够帮忙准备贡品的厨师！有意者请前往洽谈！
Side_HumanVillage_005_Mission	悬赏：私塾盒饭供应	村子里的私塾正在寻找能提供午餐盒饭的供应商！有意者请前往洽谈！
Side_HakureiShrine_001_Mission	寻找能让人力量涌现的食物	神社山腰处有个苦于体力不支而无法继续登山的老婆婆，有意协助者请速去联系。
Side_HakureiShrine_002_Mission	志愿者盒饭·悬赏	博丽神社正在寻找能够提供志愿者盒饭的志愿者！有意者请前往洽谈！
Side_HakureiShrine_003_Mission	物以稀为贵	河童商人正在做新款茶叶的市场报告，为此想寻找协助者，有意者请前往博丽神社咨询！
Side_HakureiShrine_004_Mission	主妇们的战斗·悬赏	人类主妇发布了一道“色香味俱全的料理”的悬赏，有能者可前往博丽神社咨询。
Side_HakureiShrine_005_Mission	啤酒代购	经常在神社宴会里蹭酒喝的男人发布了代购委托，有意者请前往博丽神社咨询。
Side_ScarletMansion_001_Mission	求助！某位很难搞的大人物的特殊料理该怎么做啊……	在红魔馆的匿名女仆妖精在寻找拥有改良菜谱技能的厨师！有意者请前往洽谈！
Side_ScarletMansion_002_Mission	求助！特殊料理的参考，其之二	在红魔馆的匿名女仆妖精又在寻找拥有改良菜谱技能的厨师！有意者请前往洽谈！
Side_ScarletMansion_003_Mission	想要知道过于完美的帕秋莉大人的弱点！	在红魔馆的小恶魔正在寻找了解帕秋莉喜好的厨师！有意者请前往洽谈！
Side_ScarletMansion_004_Mission	想要知道红美铃大人的家乡菜！	在红魔馆附近的地精正在寻找对各国料理都有所了解的厨师！有意者请前往洽谈！
Side_ScarletMansion_005_Mission	洋馆恐怖传说	红魔馆附近的大妖精最近被一些灵异事件困扰，希望能找人一起一探究竟。
Side_ScarletMansion_006_Mission	琪露诺的完美冰冻教室	琪露诺那个笨蛋居然把大妖精冻起来了！找三只青蛙或者什么鱼给他做实验，只要事先碎掉一回就安全了？\n……总觉得不是很靠谱啊，收集到以后先去问问博识的帕秋莉小姐吧。
Side_ScarletMansion_007_Mission	米斯蒂娅的完美料理教室	坏事的背后原来是你！作为赔礼，你得把大妖精喜欢的菜教给我……虽然我不会做，但我可以把你做的菜冻起来，然后解冻啊！
Side_BambooForest_001_Mission	请夺回被偷走的天然泉	迷途竹林的西式妖怪兔正在寻找能协助破案的人，希望有破案经验的人能前往洽谈！
Side_BambooForest_002_Mission	料理上的一些迷惑，有人可以解答吗？	迷途竹林叛逆的月兔觉得和食很无聊，希望有经验的厨师可以纠正她的错误思想。
Side_BambooForest_003_Mission	月之竹林短歌会	迷失竹林的妖怪兔们准备在满月之夜举办短歌会，为此需要一些支援，有意协助者可以到竹林了解一下。
Side_BambooForest_004_Mission	没有鱼的池塘怎么看都有点寂寞呢	迷途竹林的美食妖怪兔正在寻找能提供赏月料理的人，有意协助者请前往洽谈！
Kizuna_Rumia_LV1_Upgrade_001_Mission	麻痹味觉的黑暗物质？！	我曾经去过一个推崇黑宴的村子，那儿所有料理都是黑色的。虽然闻起来很臭，不过确实很好吃哦！\n要是你找些豆腐给我看看，或许我就能想起来是怎么做的了。
Kizuna_Rumia_LV1_Upgrade_002_Mission	请露米娅品尝一下「臭豆腐」吧！	从露米娅那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Rumia_LV2_Upgrade_002_Mission	请露米娅品尝一下「炸八目鳗」吧！	我之前去你的店里的时候，你的招牌菜“炸八目鳗”似乎好久没做了哦。
Kizuna_Rumia_LV3_Upgrade_001_Mission	黑熊料理?! ~ 其之一	前几天遇到一头黑熊，因为挺罕见的，所以我想把它吃了。结果被它逃走，有点遗憾。可以用别的食材来代替吗？
Kizuna_Rumia_LV3_Upgrade_002_Mission	黑熊料理?! ~ 其之二	虽然我不太喜欢吃素……但是能让熊放弃吃肉的竹笋会是什么味道呢？没吃过呢。
Kizuna_Rumia_LV3_Upgrade_003_Mission	请露米娅品尝一下「赛熊掌」吧！	从露米娅那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Chen_LV1_Upgrade_001_Mission	请橙品尝一下「秘制小鱼干」吧！	从橙那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Chen_LV2_Upgrade_001_Mission	烂醉如猫 ~ 猪肉篇	怎么给我抓了只麻雀过来……我要的是猪！\n别、别以为我喝醉了！去给我抓一只精壮的肥猪来！
Kizuna_Chen_LV2_Upgrade_002_Mission	烂醉如猫 ~ 鳟鱼篇	不是这个味道……一点腥味都没有！\n对了！是鱼！\n给我抓条鳟鱼来吧！
Kizuna_Chen_LV2_Upgrade_003_Mission	烂醉如猫 ~ 鳟鱼和猪肉篇！	我想给你做点好吃的……鱼肉也要……猪肉也要……呜呜呜……
Kizuna_Chen_LV2_Upgrade_004_Mission	请橙品尝一下「猪肉鳟鱼熏」吧！	从橙那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Chen_LV3_Upgrade_001_Mission	攻略野猫大作战！ ~ 其之一	猫咪们最近好像迷上去河边捞什么吃，因为我的弱点是水，所以主人不让我随便靠近河边……\n海带吗？好像确实有些像！
Kizuna_Chen_LV3_Upgrade_002_Mission	攻略野猫大作战！ ~ 其之二	野猫为了生存，体力消耗很大，如果能让它们摄取到更丰富的营养就好了！\n海带和野猪肉的组合吗？到底会做出什么料理呢……
Kizuna_Chen_LV3_Upgrade_003_Mission	请橙品尝一下「力量汤」吧！	从橙那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Wriggle_LV1_Upgrade_001_Mission	露水和蛋的邂逅？	这可不是普通的水煮蛋哦。这种清甜的口感……\n哼哼！想知道？你去采集一些露水给我，我就告诉你答案~
Kizuna_Wriggle_LV1_Upgrade_002_Mission	请莉格露品尝一下「露水煮蛋」吧！	从莉格露那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Wriggle_LV2_Upgrade_002_Mission	请莉格露品尝一下「香炸蝉蜕」吧！	从莉格露那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Wriggle_LV3_Upgrade_001_Mission	虫族之花	就和虫族的力量衰退之谜一样，幻昙华的数量骤减至今也仍是一个谜。不过连沼泽都能盛开幻昙华，说明它的生命力依然很顽强！说不定也在别处悄悄地开放着呢！
Kizuna_Wriggle_LV3_News_Mission	请帮助孝顺的年幼妖怪！	在兽道东侧，一名小妖怪正在寻找擅长料理的人，请热心的市民前去帮助！
Kizuna_Wriggle_LV3_Upgrade_002_Mission	请莉格露品尝一下「幻昙花糕」吧！	从莉格露那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Akyuu_LV1_Upgrade_002_Mission	请稗田阿求品尝一下「豆腐味噌」吧！	从阿求小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Akyuu_LV2_Upgrade_001_Mission	挑选蔬菜的挑战	如何挑选新鲜的蔬菜十分重要。以品质为着眼点，不妨试试去挑选些优质的土豆和南瓜吧。
Kizuna_Akyuu_LV2_Upgrade_002_Mission	请稗田阿求品尝一下「蔬菜专辑」吧！	从阿求小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Akyuu_LV3_Upgrade_002_Mission	请稗田阿求品尝一下「樱落雪」吧！	从阿求小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Kasen_LV1_Upgrade_002_Mission	请茨华仙品尝一下「豆腐锅」吧！	从华扇小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Kasen_LV2_Upgrade_001_Mission	让福神来雀食堂光顾大作战！	去找些牛肉来，我教你做新料理！虽然是很简单的料理，但却是大众口味，对食堂来说也许正好合适呢。一步一步地让自己的店成为能够让福神光临的店吧！
Kizuna_Kasen_LV2_Upgrade_002_Mission	请茨华仙品尝一下「牛肉盖浇饭」吧！	从华扇小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Kasen_LV3_Upgrade_001_Mission	向仙兽学习料理！	它们也不过是乱炖一通。正因如此，之后我问它们到底用了什么食材，它们也说不出来。从口感来说，或许是南瓜吧……
Kizuna_Kasen_LV3_Upgrade_002_Mission	请茨华仙品尝一下「野味加农」吧！	从华扇小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Keine_LV1_Upgrade_002_Mission	请慧音老师品尝一下「油豆腐」吧！	从慧音老师那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Keine_LV2_Upgrade_002_Mission	请慧音老师品尝一下「诗礼银杏」吧！	从慧音老师那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Keine_LV3_Upgrade_001_Mission	漂洋过海的食材！	每一样东西都有它的历史，料理也不例外……你知道河豚吗？把它带给我，我就给你讲讲它的来历哦。
Kizuna_Keine_LV3_Upgrade_002_Mission	请慧音老师品尝一下「白雪」吧！	从慧音老师那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Reimu_LV1_Upgrade_Mission_001	藏在饭团里的炽热？	所谓温暖饭团，就是既便宜又能给人带来温暖并且还能够饱腹的超性价比料理。想要领悟这道料理的精髓，就去找出藏在其中的那一团炽热吧！
Kizuna_Reimu_LV1_Upgrade_Mission_002	请灵梦小姐品尝一下「温暖饭团」吧！	从灵梦小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Reimu_LV2_Upgrade_Mission	请灵梦小姐品尝一下「杂炊」吧！	从灵梦小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Reimu_LV3_Upgrade_Mission1	用钱堆砌起来的食材	没错！大奢宴！就是将日本和牛，高等黑毛猪还有河豚一起进行料理的那个东西！这些都是我只能遥遥相望的高级食材啊……
Kizuna_Reimu_LV3_Upgrade_Mission2	请灵梦小姐品尝一下「大奢宴」吧！	从灵梦小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Suika_LV1_Upgrade_Mission_001	此猪肉非彼猪肉！？	不同品质、部位的猪肉都有着与其最相配的料理之法。正好我无聊着，就把你能得到的猪肉拿给我看看，或许我能给你指点一二哦~
Kizuna_Suika_LV1_Upgrade_Mission_002	请萃香小姐品尝一下「炸猪肉排」吧！	从萃香小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Suika_LV2_Upgrade_Mission	请萃香小姐品尝一下「能量串」吧！	从萃香小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Suika_LV3_Upgrade_Mission_001	在鬼之中广为流传的超级料理！？	那个人类将二刀流的心得贯彻到这道料理中，挥动烤肉串的手法就像舞剑一样行云流水，却又锋芒逼人。值得一说的是，他在食材的选择上也下了一番心思。野性的、充满力量的食物，能让鬼打从心里感到愉悦。
Kizuna_Suika_LV3_Upgrade_Mission_002	请萃香小姐品尝一下「二天一流」吧！	从萃香小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Tenshi_LV1_Upgrade_Mission_001	雅与俗？	只有庸俗之人会追求大鱼大肉，真正的精致主义者的口食都是小而精巧的。所以，要做出上乘的料理，就要舍弃那些荤腥的粗俗之物，去寻求更加清新自然的食材。
Kizuna_Tenshi_LV1_Upgrade_Mission_002	请天子小姐品尝一下「凉菜雕花」吧！	从天子小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Tenshi_LV2_Upgrade_Mission	请天子小姐品尝一下「桃花羹」吧！	从天子小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Tenshi_LV3_Upgrade_Mission_001	天上的桃子和地上的桃子	在天上已经吃桃子吃到吐，到了地上谁还吃桃子啊——什么？地上的桃子的味道和天上的桃子不一样？唔……那我就稍微尝尝吧……
Kizuna_Tenshi_LV3_Upgrade_Mission_002	请天子小姐品尝一下「北极甜虾蜜桃色拉」吧！	从天子小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Tewi_LV1_Upgrade_Mission_001	兔子的秘藏食谱？	这个秘藏食谱可是我压箱底的宝贝。仅凭一顿料理就送给你，是我对老板娘你的情义哦。
Kizuna_Tewi_LV1_Upgrade_Mission_002	请因幡帝品尝一下「麻薯」吧！	从帝那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Tewi_LV2_Upgrade_Mission_001	还没送出礼物就想要回礼是不是太过分了？	既然你有心要给我回礼，那就给我做一顿不可思议的料理吧。
Kizuna_Tewi_LV2_Upgrade_Mission_002	请因幡帝品尝一下「白桃生八桥」吧！	从帝那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Tewi_LV3_Upgrade_Mission_001	伴兔如伴——	如果你愿意陪我玩的话，我就把兔子们最近捡到的这个食谱送给你……不过我现在肚子饿了，你先去做点好吃的来，这样我才有力气去戏弄你呢~
Kizuna_Tewi_LV3_Upgrade_Mission_002	请因幡帝品尝一下「月光团子」吧！	从帝那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Mokou_LV1_Upgrade_Mission_001	无辣不欢！	正好我家里的辣椒用完了，如果老板娘能帮我采购一些的话，我就把这道料理交给你吧。
Kizuna_Mokou_LV1_Upgrade_Mission_002	请妹红小姐品尝一下「麻婆豆腐」吧！	从妹红小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Mokou_LV2_Upgrade_Mission	请妹红小姐品尝一下「水煮鱼」吧！	从妹红小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Mokou_LV3_Upgrade_Mission_001	把痛苦的过去做成料理一口吃掉！	我的话，应该是喜欢能够带来刺激的、仿佛燃起来一般的料理……那种传说中的料理似乎也不错。
Kizuna_Mokou_LV3_Upgrade_Mission_002	请妹红小姐品尝一下「岩浆」吧！	从妹红小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Kaguya_LV1_Upgrade_Mission	请辉夜小姐品尝一下「竹筒蒸蛋」吧！	从辉夜小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Kaguya_LV2_Upgrade_Mission_001	“月都万象展”即将开展！	正好我们人手不够，如果你愿意来帮忙的话，我就把这个秘方教给你，怎么样？
Kizuna_Kaguya_LV2_Upgrade_Mission_002	请辉夜小姐品尝一下「月之恋人」吧！	从辉夜小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Kaguya_LV3_Upgrade_Mission_001	公主的第六个谜题	若想要我的墨宝，就要解开我的谜题。既然是你的话，就给我做一道传说中有着文化底蕴的料理吧。这可比那五道谜题简单多了哦。
Kizuna_Kaguya_LV3_Upgrade_Mission_002	请辉夜小姐品尝一下「蓬莱玉枝」吧！	从辉夜小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Meirin_LV1_Upgrade_Mission_001	他乡的鳗鱼料理	既然老板娘这么擅长料理八目鳗，一定知道我曾经吃到的八目鳗的做法，就麻烦您了！
Kizuna_Meirin_LV1_Upgrade_Mission_002	请美铃小姐品尝一下「红烧鳗鱼」吧！	从美铃小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Meirin_LV2_Upgrade_Mission	请美铃小姐品尝一下「白果萝卜排骨汤」吧！	从美铃小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Meirin_LV3_Upgrade_Mission_001	寻找适合做生煎包的肉馅	虽然我不太懂料理，不过帮老板娘尝尝什么肉适合做生煎包的馅还是做得到的。
Kizuna_Meirin_LV3_Upgrade_Mission_002	请美铃小姐品尝一下「华光玉煎包」吧！	从美铃小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Patchouli_LV1_Upgrade_Mission	请帕秋莉小姐品尝一下「班尼迪克蛋」吧！	从帕秋莉小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Patchouli_LV2_Upgrade_Mission_001	书上的料理	被你缠着说了半天，我现在肚子饿了。在上课之前，就先让我来考验一下你的实力吧。
Kizuna_Patchouli_LV2_Upgrade_Mission_002	请帕秋莉小姐品尝一下「意式烩饭」吧！	从帕秋莉小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Patchouli_LV3_Upgrade_Mission_001	恃才而娇不可取！	哼。如果你真的有在好好学习，那就做一道“高级”的料理来看看吧。
Kizuna_Patchouli_LV3_Upgrade_Mission_002	请帕秋莉小姐品尝一下「惠灵顿牛排」吧！	从帕秋莉小姐那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Cirno_LV1_Upgrade_Mission_001	笨蛋妖精的刁难	我要投诉！你店里做的海鲜味噌汤，根本就没有海鲜！什么海带！？我才不承认呢，至少得是条鱼吧！
Kizuna_Cirno_LV1_Upgrade_Mission_002	请琪露诺品尝一下「真·海鲜味噌汤」吧！	从琪露诺那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Cirno_LV2_Upgrade_Mission	请琪露诺品尝一下「刺身拼盘」吧！	从琪露诺那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Kizuna_Cirno_LV3_Upgrade_Mission_001	寻找适合做冷盘的肉	我可是冰之妖精！适不适合做冷盘，让我尝尝就知道了！
Kizuna_Cirno_LV3_Upgrade_Mission_002	请琪露诺品尝一下「猪鹿蝶」吧！	从琪露诺那儿得到了新料理的灵感，做出来以后请她尝一尝吧！
Side_HumanVillage_Loop_Mission_A	阿求小姐的色纸	我是阿加莎克里斯Q的书迷！如果你收集到任何有关她的东西，请交给我！我会用很棒的东西跟你换的！
Side_HumanVillage_Loop_Mission_B	阿求小姐的色纸	我是阿加莎克里斯Q的书迷！如果你收集到任何有关她的东西，请交给我！我会用很棒的东西跟你换的！
Side_HumanVillage_Loop_Mission_C	阿求小姐的色纸	我是阿加莎克里斯Q的书迷！如果你收集到任何有关她的东西，请交给我！我会用很棒的东西跟你换的！
Side_HumanVillage_Loop_Mission_D	阿求小姐的色纸	我是阿加莎克里斯Q的书迷！如果你收集到任何有关她的东西，请交给我！我会用很棒的东西跟你换的！
CirculatedMokouVSKaguya_Mission	永无止境的斗争	与其这样一直被她叨扰，不如你挂上不死鸟与竹取姬的菜牌，让我们 再决高下。那么三日后，还麻烦你过来报告一下这两道菜式的销量情况哦。
