KEY	NAME	DESCRIPTION
Side_BeastForest_006_News	募集擅长给猫猫做料理的厨师！	橙正在寻找能够提供野餐料理的厨师！有意者请前往洽谈！
Side_HumanVillage_001_News	人类的宴客之道	村民某某在为如何宴请客人而烦恼，有偿邀请有丰富的宴会经验者为其解惑。有意者可前往一试！
Side_HumanVillage_003_News	使用料理维护人间之里的和平！	罕见的人妖——森近先生在人类村子等着你的帮助！有意者请前往洽淡！
Side_HumanVillage_004_News	稻荷神会原谅我的吧……	村民正在寻找能够帮忙准备贡品的厨师！有意者请前往洽谈！
Side_HumanVillage_005_News	就算是学习也不能废寝忘食！	村子里的私塾正在寻找能提供午餐盒饭的供应商！有意者请前往洽谈！
Side_HakureiShrine_001_News	能让人涌现力量的食物？	博丽神社山脚下的老人正在寻找奇怪的料理，有意协助者可前往洽谈！
Side_HakureiShrine_002_News	神社的志愿者招募公告！	博丽神社正在寻找能够提供志愿者盒饭的志愿者！有意者请前往洽谈！
Side_HakureiShrine_003_News	贵价茶叶是否拥有市场？	博丽神社的妖怪商人似乎遇到了麻烦，有意协助者请前往洽谈！
Side_HakureiShrine_004_News	主妇们的战斗！	正在博丽神社参拜的某妇人似乎在为什么事情头疼着，有意协助者请前往洽谈！
Side_HakureiShrine_005_News	超z啤酒的代购委托！	在博丽神社参拜的某妖怪似乎想找人帮忙，有意协助者请前往洽谈！
Side_HakureiShrine_003_News_Start	绿茶价格上升！	市场上的绿茶价格突然因为不明原因上涨了！
Side_HakureiShrine_003_News_End	绿茶价格回落	绿茶的价格回复了正常……
Side_ScarletMansion_001_News	求助！某位很难搞的大人物的特殊料理……	在红魔馆的匿名女仆妖精在寻找拥有改良菜谱技能的厨师！有意者请前往洽谈！
Side_ScarletMansion_002_News	求助！特殊料理的参考，其之二	在红魔馆的匿名女仆妖精又在寻找拥有改良菜谱技能的厨师！有意者请前往洽谈！
Side_ScarletMansion_003_News	想要知道过于完美的帕秋莉大人的弱点！	在红魔馆的小恶魔正在寻找了解帕秋莉喜好的厨师！有意者请前往洽谈！
Side_ScarletMansion_004_News	红美铃大人的家乡菜？	在红魔馆附近的地精正在寻找对各国料理都有所了解的厨师！有意者请前往洽谈！
Side_ScarletMansion_005_News	洋馆恐怖传说……	红魔馆附近的大妖精最近被一些灵异事件困扰，希望能找人一起一探究竟。
Loop_ScarletMansion_001_News_A	女仆长的采购委托	红魔馆的恶魔女仆长发布了一些采购委托，报酬丰富，有意协助者请前往洽谈！
Loop_ScarletMansion_001_News_B	女仆长的采购委托	红魔馆的恶魔女仆长发布了一些采购委托，报酬丰富，有意协助者请前往洽谈！
Loop_ScarletMansion_001_News_C	女仆长的采购委托	红魔馆的恶魔女仆长发布了一些采购委托，报酬丰富，有意协助者请前往洽谈！
Side_BambooForest_001_News	请夺回被偷走的天然泉！	迷途竹林的西式妖怪兔正在寻找能协助破案的人，希望有破案经验的人能前往洽谈！
Side_BambooForest_002_News	就没有有趣的和食吗？	迷途竹林叛逆的月兔觉得和食很无聊，希望有经验的厨师可以纠正她的错误思想。
Side_BambooForest_003_News	月之竹林短歌会	迷途竹林的美食妖怪兔正在寻找能提供赏月料理的人，有意协助者请前往洽谈！
Side_BambooForest_004_News	没有鱼的池塘怎么看都有点寂寞呢	迷途竹林的弱小的妖怪兔正在寻找投放在池子里的鱼苗，有意协助者请前往洽谈！
Pop_Like_Start_000	看来接下来“适合拍照”的食物会被大家喜欢！	米O林餐厅真人秀评选节目上说，食物就是要色香味俱全！？
Pop_Like_Start_001	看来接下来“中华”的食物会被大家喜欢！	最近香霖堂进了《中O小当家》！好像是外界很流行的漫画！
Pop_Like_Start_002	看来接下来“甜”的食物会被大家喜欢！	人气漫画《恋爱技能攻略》里，男主角说喜欢甜食会让人感觉很可爱！？
Pop_Like_Start_003	看来接下来“清淡”的食物会被大家喜欢！	是非曲直厅编辑部发布了新版《死亡笔记》！其中有许多死因皆为生活不自律，幻想乡掀起了一股养生风潮！
Pop_Like_Start_004	看来接下来“高级”的食物会被大家喜欢！	《女O帮》杂志上说，精致的生活会给自己带来好心情！
Pop_Like_Start_005	看来接下来“下酒”的食物会被大家喜欢！	落英缤纷，好景配好酒！幻想乡进入了宴会高发期！
Pop_Like_Start_006	看来接下来“西式”的食物会被大家喜欢！	红魔馆举办的大型宴会广受好评！
Pop_Like_Start_007	看来接下来“和风”的食物会被大家喜欢！	《时尚O莎》这期封面上的和风美人让人心动不已！
Pop_Like_Start_008	看来接下来“饱腹”的食物会被大家喜欢！	运动季来临！不好好补充体力可跑不起来哦！
Pop_Like_Start_009	看来接下来“凉爽”的食物会被大家喜欢！	幻想乡气象组织发布晚间新闻，数百年难得一见的炎热天气将再度席卷幻想乡！？
Pop_Like_Start_010	看来接下来“山珍”的食物会被大家喜欢！	妖怪之山的野生动物数量泛滥！？山下的居民不堪其扰，猎人纷纷出动！
Pop_Like_Start_011	看来接下来“水产”的食物会被大家喜欢！	吃水产可以补充优质的蛋白质！？健身界达人公开了自己的健身秘籍！
Pop_Like_Start_012	看来接下来“家常”的食物会被大家喜欢！	务工期来临！出门在外，最怀念的永远是家里的味道！
Pop_Like_Start_013	看来接下来“素”的食物会被大家喜欢！	坚持吃素可以养颜瘦身？某乡红自制蔬菜三文治广受好评！
Pop_Like_End_000	流行是一阵风——	“适合拍照”的食物已经不再流行。
Pop_Like_End_001	流行是一阵风——	“中华”的食物已经不再流行。
Pop_Like_End_002	流行是一阵风——	“甜”的食物已经不再流行。
Pop_Like_End_003	流行是一阵风——	“清淡”的食物已经不再流行。
Pop_Like_End_004	流行是一阵风——	“高级”的食物已经不再流行。
Pop_Like_End_005	流行是一阵风——	“下酒”的食物已经不再流行。
Pop_Like_End_006	流行是一阵风——	“西式”的食物已经不再流行。
Pop_Like_End_007	流行是一阵风——	“和风”的食物已经不再流行。
Pop_Like_End_008	流行是一阵风——	“饱腹”的食物已经不再流行。
Pop_Like_End_009	流行是一阵风——	“凉爽”的食物已经不再流行。
Pop_Like_End_010	流行是一阵风——	“山珍”的食物已经不再流行。
Pop_Like_End_011	流行是一阵风——	“水产”的食物已经不再流行。
Pop_Like_End_012	流行是一阵风——	“家常”的食物已经不再流行。
Pop_Like_End_013	流行是一阵风——	“素”的食物已经不再流行。
Pop_Hate_Start_000	看来接下来“甜”的食物会被大家讨厌！	只要戒断糖分摄入就可以获得更光滑的皮肤和更好的体型！？
Pop_Hate_Start_001	看来接下来“重油”的食物会被大家讨厌！	轻食是新的潮流方向！虽然不太懂轻食是什么……
Pop_Hate_Start_002	看来接下来“下酒”的食物会被大家讨厌！	光顾着喝酒的宴会是没有灵魂的！？
Pop_Hate_Start_003	看来接下来“水产”的食物会被大家讨厌！	吃水产会引起过敏性皮肤病！？人里某患者痛诉水产带来的悲剧！
Pop_Hate_Start_004	看来接下来“山珍”的食物会被大家讨厌！	野生动物的体内携带大量病菌！？幻想乡健康委员会号召大家不要捕食野生动物！
Pop_Hate_Start_005	看来接下来“饱腹”的食物会被大家讨厌！	《O医健康养生》新刊发布！用餐保持七分饱的状态可以让自己变得更加年轻！？
Pop_Hate_Start_006	看来接下来“清淡”的食物会被大家讨厌！	总是吃清淡的食物会让人味觉退化！？来历不明的传言让村民人心惶惶！
Pop_Hate_Start_007	看来接下来“凉爽”的食物会被大家讨厌！	幻想乡气象组织发布晚间新闻，数百年难得一见的寒潮正在覆盖幻想乡！？白夜即将来临！
Pop_Hate_End_000	偏见是不可取的！	“甜”的食物又重新回到人们的生活中。
Pop_Hate_End_001	偏见是不可取的！	“重油”的食物又重新回到人们的生活中。
Pop_Hate_End_002	偏见是不可取的！	“下酒”的食物又重新回到人们的生活中。
Pop_Hate_End_003	偏见是不可取的！	“水产”的食物又重新回到人们的生活中。
Pop_Hate_End_004	偏见是不可取的！	“山珍”的食物又重新回到人们的生活中。
Pop_Hate_End_005	偏见是不可取的！	“饱腹”的食物又重新回到人们的生活中。
Pop_Hate_End_006	偏见是不可取的！	“清淡”的食物又重新回到人们的生活中。
Pop_Hate_End_007	偏见是不可取的！	“凉爽”的食物又重新回到人们的生活中。
Side_HumanVillage_Loop_News_A	阿求小姐的色纸	我是阿加莎克里斯Q的书迷，长期换购任何有关她的东西。报酬丰厚，有诚意的来！
Side_HumanVillage_Loop_News_B	阿求小姐的色纸	我是阿加莎克里斯Q的书迷，长期换购任何有关她的东西。报酬丰厚，有诚意的来！
Side_HumanVillage_Loop_News_C	阿求小姐的色纸	我是阿加莎克里斯Q的书迷，长期换购任何有关她的东西。报酬丰厚，有诚意的来！
Side_HumanVillage_Loop_News_D	阿求小姐的色纸	我是阿加莎克里斯Q的书迷，长期换购任何有关她的东西。报酬丰厚，有诚意的来！
Kizuna_Wriggle_LV3_News	请帮助孝顺的年幼妖怪！	在兽道东侧，一名小妖怪正在寻找擅长料理的人，请热心的市民前去帮助！
